model,f1_macro,accuracy,cohen_kappa,matthews_mcc,pearson_r,f1_entailment,f1_neutral,f1_contradiction,pearson_p
xlmr,0.6264,0.6272,0.4157,0.4193,-0.6125,0.6043,0.6277,0.6471,0.0
mbert,0.6068,0.6186,0.3817,0.3821,-0.559,0.5724,0.6486,0.5992,0.0
